Region,Mun_City,Barangay,Bgy_Old names,"Urban / Rural
(based on 2020 CPH)",2020 Census Popn
MIMAROPA Region,City of Puerto Princesa ,Masipag ,,U,2154
MIMAROPA Region,City of Puerto Princesa ,Matahimik ,,U,1233
MIMAROPA Region,City of Puerto Princesa ,Matiyaga ,,R,424
MIMAROPA Region,City of Puerto Princesa ,Maunlad ,,U,4369
MIMAROPA Region,City of Puerto Princesa ,Milagrosa ,,U,3100
MIMAROPA Region,City of Puerto Princesa ,Model ,,U,347
MIMAROPA Region,City of Puerto Princesa ,Montible ,,R,655
MIMAROPA Region,City of Puerto Princesa ,Napsan,,R,3064
MIMAROPA Region,City of Puerto Princesa ,New Panggangan,,R,710
MIMAROPA Region,City of Puerto Princesa ,Pagkakaisa ,,R,1178
MIMAROPA Region,City of Puerto Princesa ,Princesa ,,R,1003
MIMAROPA Region,City of Puerto Princesa ,Salvacion,,R,1506
MIMAROPA Region,City of Puerto Princesa ,San Jose,,U,23804
MIMAROPA Region,City of Puerto Princesa ,San Miguel,,U,21157
MIMAROPA Region,City of Puerto Princesa ,San Pedro,,U,25909
MIMAROPA Region,City of Puerto Princesa ,San Rafael,,R,2065
MIMAROPA Region,City of Puerto Princesa ,Santa Cruz,,R,1091
MIMAROPA Region,City of Puerto Princesa ,Santa Lourdes,,U,8186
MIMAROPA Region,City of Puerto Princesa ,Santa Lucia ,,R,422
MIMAROPA Region,City of Puerto Princesa ,Santa Monica,,U,21174
MIMAROPA Region,City of Puerto Princesa ,Seaside ,,R,348
MIMAROPA Region,City of Puerto Princesa ,Sicsican,,U,22625
MIMAROPA Region,City of Puerto Princesa ,Simpocan,,R,1247
MIMAROPA Region,City of Puerto Princesa ,Tagabinit,,R,1630
MIMAROPA Region,City of Puerto Princesa ,Tagburos,,U,9824
MIMAROPA Region,City of Puerto Princesa ,Tagumpay ,,U,782
MIMAROPA Region,City of Puerto Princesa ,Tanabag,,R,771
MIMAROPA Region,City of Puerto Princesa ,Tanglaw ,,U,1941
MIMAROPA Region,City of Puerto Princesa ,Barangay ng mga Mangingisda,,U,7988
MIMAROPA Region,City of Puerto Princesa ,Inagawan Sub-Colony,,U,5179
MIMAROPA Region,City of Puerto Princesa ,Luzviminda,,R,3636
MIMAROPA Region,City of Puerto Princesa ,Mandaragat,,U,10248
MIMAROPA Region,City of Puerto Princesa ,San Manuel,,U,18509
MIMAROPA Region,City of Puerto Princesa ,Tiniguiban,,U,13565
MIMAROPA Region,Quezon,Alfonso XIII ,,U,16145
MIMAROPA Region,Quezon,Aramaywan,,R,3798
MIMAROPA Region,Quezon,Berong,,U,4062
MIMAROPA Region,Quezon,Calumpang,,R,2467
MIMAROPA Region,Quezon,Isugod,,R,4464
MIMAROPA Region,Quezon,Quinlogan,,R,3901
MIMAROPA Region,Quezon,Maasin,,R,2501
MIMAROPA Region,Quezon,Panitian,,U,7500
MIMAROPA Region,Quezon,Pinaglabanan,,R,3310
MIMAROPA Region,Quezon,Sowangan,,R,3787
MIMAROPA Region,Quezon,Tabon,,U,5208
MIMAROPA Region,Quezon,Calatagbak,,R,1601
MIMAROPA Region,Quezon,Malatgao,,R,2761
MIMAROPA Region,Quezon,Tagusao,,R,3778
MIMAROPA Region,Roxas,Abaroan,,R,3840
MIMAROPA Region,Roxas,Antonino,,R,1270
MIMAROPA Region,Roxas,Bagong Bayan,,R,1068
MIMAROPA Region,Roxas,Caramay,,R,3031
MIMAROPA Region,Roxas,Dumarao,,R,3041
MIMAROPA Region,Roxas,Iraan,,R,656
MIMAROPA Region,Roxas,Jolo,,R,1064
MIMAROPA Region,Roxas,Magara,,U,5450
MIMAROPA Region,Roxas,Malcampo,,R,1951
MIMAROPA Region,Roxas,Mendoza,,R,1451
MIMAROPA Region,Roxas,Narra,,R,1294
MIMAROPA Region,Roxas,New Barbacan,,R,4575
MIMAROPA Region,Roxas,New Cuyo,,R,1837
MIMAROPA Region,Roxas,Barangay 1 ,,U,4597
MIMAROPA Region,Roxas,Rizal,,R,928
MIMAROPA Region,Roxas,Salvacion,,R,756
MIMAROPA Region,Roxas,San Isidro,,R,672
MIMAROPA Region,Roxas,San Jose,,R,1659
MIMAROPA Region,Roxas,San Miguel,,R,1243
MIMAROPA Region,Roxas,San Nicolas,,R,1294
MIMAROPA Region,Roxas,Sandoval,,R,2187
MIMAROPA Region,Roxas,Tagumpay,,R,2914
MIMAROPA Region,Roxas,Taradungan,,R,1264
MIMAROPA Region,Roxas,Tinitian,,R,1977
MIMAROPA Region,Roxas,Tumarbong,,R,4149
MIMAROPA Region,Roxas,Barangay II ,,U,742
MIMAROPA Region,Roxas,Barangay III ,,U,5371
MIMAROPA Region,Roxas,Barangay IV ,,U,6308
MIMAROPA Region,Roxas,Barangay V Pob.,,R,0
MIMAROPA Region,Roxas,Barangay VI Pob.,,R,603
MIMAROPA Region,Roxas,Nicanor Zabala,,R,2432
MIMAROPA Region,San Vicente,Alimanguan,,R,4592
MIMAROPA Region,San Vicente,Binga,,R,1808
MIMAROPA Region,San Vicente,Caruray,,R,4550
MIMAROPA Region,San Vicente,Kemdeng,,R,1119
MIMAROPA Region,San Vicente,New Agutaya,,R,4374
MIMAROPA Region,San Vicente,New Canipo,,R,1544
MIMAROPA Region,San Vicente,Port Barton,,U,6621
MIMAROPA Region,San Vicente,Poblacion,,U,6330
MIMAROPA Region,San Vicente,San Isidro,,R,1012
MIMAROPA Region,San Vicente,Santo Niño,,R,1557
MIMAROPA Region,Taytay,Abongan,,R,4642
MIMAROPA Region,Taytay,Banbanan,,R,2024
MIMAROPA Region,Taytay,Bantulan,,R,2427
MIMAROPA Region,Taytay,Batas,,R,1220
MIMAROPA Region,Taytay,Bato,,R,3600
MIMAROPA Region,Taytay,Beton,,R,1473
MIMAROPA Region,Taytay,Busy Bees,,R,1343
MIMAROPA Region,Taytay,Calawag,,U,5334
MIMAROPA Region,Taytay,Casian,,U,4660
MIMAROPA Region,Taytay,Cataban,,R,1255
MIMAROPA Region,Taytay,Debangan,,R,1047
MIMAROPA Region,Taytay,Depla,,R,1274
MIMAROPA Region,Taytay,Liminangcong,,U,5814
MIMAROPA Region,Taytay,Meytegued,,R,984
MIMAROPA Region,Taytay,New Guinlo,,R,3628
MIMAROPA Region,Taytay,Old Guinlo,,R,1041
MIMAROPA Region,Taytay,Pamantolon,,R,2228
MIMAROPA Region,Taytay,Pancol,,R,2981
MIMAROPA Region,Taytay,Paly,,R,2458
MIMAROPA Region,Taytay,Poblacion,,U,14130
MIMAROPA Region,Taytay,Pularaquen,,R,2928
MIMAROPA Region,Taytay,San Jose,,R,2500
MIMAROPA Region,Taytay,Sandoval,,R,1355
MIMAROPA Region,Taytay,Silanga,,R,1587
MIMAROPA Region,Taytay,Alacalian,,R,3024
MIMAROPA Region,Taytay,Baras,,R,828
MIMAROPA Region,Taytay,Libertad,,R,1977
MIMAROPA Region,Taytay,Minapla,,R,648
MIMAROPA Region,Taytay,Talog,,R,1058
MIMAROPA Region,Taytay,Tumbod,,R,1744
MIMAROPA Region,Taytay,Paglaum,,R,2145
MIMAROPA Region,Kalayaan,Pag-Asa ,,R,193
MIMAROPA Region,Culion,Balala,,U,659
MIMAROPA Region,Culion,Baldat,,U,1030
MIMAROPA Region,Culion,Binudac,,R,2494
MIMAROPA Region,Culion,Culango,,R,392
MIMAROPA Region,Culion,Galoc,,R,2264
MIMAROPA Region,Culion,Jardin,,R,1373
MIMAROPA Region,Culion,Libis,,R,1479
MIMAROPA Region,Culion,Luac,,R,2002
MIMAROPA Region,Culion,Malaking Patag,,R,1766
MIMAROPA Region,Culion,Osmeña,,R,4002
MIMAROPA Region,Culion,Tiza,,R,1181
MIMAROPA Region,Culion,Burabod,,R,961
MIMAROPA Region,Culion,Halsey,,R,971
MIMAROPA Region,Culion,De Carabao,,R,2639
MIMAROPA Region,Rizal,Bunog,,R,3124
MIMAROPA Region,Rizal,Campong Ulay,,R,2711
MIMAROPA Region,Rizal,Candawaga,,U,6330
MIMAROPA Region,Rizal,Canipaan,,R,2969
MIMAROPA Region,Rizal,Culasian,,R,3059
MIMAROPA Region,Rizal,Iraan,,U,7232
MIMAROPA Region,Rizal,Latud,,R,2610
MIMAROPA Region,Rizal,Panalingaan,,R,4728
MIMAROPA Region,Rizal,Punta Baja,,U,12185
MIMAROPA Region,Rizal,Ransang,,U,5339
MIMAROPA Region,Rizal,Taburi,,U,5875
MIMAROPA Region,Sofronio Española,Abo-abo,,R,3037
MIMAROPA Region,Sofronio Española,Iraray,,R,3186
MIMAROPA Region,Sofronio Española,Isumbo,,R,2457
MIMAROPA Region,Sofronio Española,Labog,,R,4194
MIMAROPA Region,Sofronio Española,Panitian,,U,6187
MIMAROPA Region,Sofronio Española,Pulot Center,,U,7159
MIMAROPA Region,Sofronio Española,Pulot Interior,,R,3116
MIMAROPA Region,Sofronio Española,Pulot Shore,,R,4960
MIMAROPA Region,Sofronio Española,Punang,,R,3120
MIMAROPA Region,Alcantara,Bonlao,,R,1346
MIMAROPA Region,Alcantara,Calagonsao,,R,1252
MIMAROPA Region,Alcantara,Camili,,R,1833
MIMAROPA Region,Alcantara,Comod-om,,R,924
MIMAROPA Region,Alcantara,Madalag,,R,1402
MIMAROPA Region,Alcantara,Poblacion,,R,2119
MIMAROPA Region,Alcantara,San Isidro,,R,1096
MIMAROPA Region,Alcantara,Tugdan,,R,2780
MIMAROPA Region,Alcantara,Bagsik,,R,1070
MIMAROPA Region,Alcantara,Gui-ob,,R,1508
MIMAROPA Region,Alcantara,Lawan,,R,783
MIMAROPA Region,Alcantara,San Roque,,R,1058
MIMAROPA Region,Banton,Balogo,,R,401
MIMAROPA Region,Banton,Banice,,R,343
MIMAROPA Region,Banton,Hambi-an,,R,255
MIMAROPA Region,Banton,Lagang,,R,101
MIMAROPA Region,Banton,Libtong,,R,198
MIMAROPA Region,Banton,Mainit,,R,361
MIMAROPA Region,Banton,Nabalay,,R,94
MIMAROPA Region,Banton,Nasunogan,,R,286
MIMAROPA Region,Banton,Poblacion,,R,1336
MIMAROPA Region,Banton,Sibay,,R,335
MIMAROPA Region,Banton,Tan-Ag,,R,334
MIMAROPA Region,Banton,Toctoc,,R,183
MIMAROPA Region,Banton,Togbongan,,R,104
MIMAROPA Region,Banton,Togong,,R,371
MIMAROPA Region,Banton,Tungonan,,R,368
MIMAROPA Region,Banton,Tumalum,,R,351
MIMAROPA Region,Banton,Yabawon,,R,316
MIMAROPA Region,Cajidiocan,Alibagon,,R,712
MIMAROPA Region,Cajidiocan,Cambajao,,R,2466
MIMAROPA Region,Cajidiocan,Cambalo,,R,2217
MIMAROPA Region,Cajidiocan,Cambijang,,R,1744
MIMAROPA Region,Cajidiocan,Cantagda,,R,1420
MIMAROPA Region,Cajidiocan,Danao,,R,3111
MIMAROPA Region,Cajidiocan,Gutivan,,R,1232
MIMAROPA Region,Cajidiocan,Lico,,R,718
MIMAROPA Region,Cajidiocan,Lumbang Este,,R,769
MIMAROPA Region,Cajidiocan,Lumbang Weste,,R,1656
MIMAROPA Region,Cajidiocan,Marigondon,,R,1801
MIMAROPA Region,Cajidiocan,Poblacion,,R,1838
MIMAROPA Region,Cajidiocan,Sugod,,R,2038
MIMAROPA Region,Cajidiocan,Taguilos,,R,1537
MIMAROPA Region,Calatrava,Balogo,,R,2052
MIMAROPA Region,Calatrava,Linao,,R,1624
MIMAROPA Region,Calatrava,Poblacion,,R,1764
MIMAROPA Region,Calatrava,Pagsangahan,,R,880
MIMAROPA Region,Calatrava,Pangulo,,R,1750
MIMAROPA Region,Calatrava,San Roque,,R,1927
MIMAROPA Region,Calatrava,Talisay,,R,1345
MIMAROPA Region,Concepcion,Bachawan,,R,358
MIMAROPA Region,Concepcion,Calabasahan,,R,568
MIMAROPA Region,Concepcion,Dalajican,,R,295
MIMAROPA Region,Concepcion,Masudsud,,R,268
MIMAROPA Region,Concepcion,Poblacion,,R,866
MIMAROPA Region,Concepcion,Sampong,,R,333
MIMAROPA Region,Concepcion,San Pedro,,R,434
MIMAROPA Region,Concepcion,San Vicente,,R,257
MIMAROPA Region,Concepcion,Masadya,,R,182
MIMAROPA Region,Corcuera,Alegria,,R,1638
MIMAROPA Region,Corcuera,Ambulong,,R,509
MIMAROPA Region,Corcuera,Colongcolong,,R,700
MIMAROPA Region,Corcuera,Gobon,,R,683
MIMAROPA Region,Corcuera,Guintiguiban,,R,320
MIMAROPA Region,Corcuera,Ilijan,,R,788
MIMAROPA Region,Corcuera,Labnig,,R,491
MIMAROPA Region,Corcuera,Mabini,,R,298
MIMAROPA Region,Corcuera,Mahaba,,R,727
MIMAROPA Region,Corcuera,Mangansag,,R,962
MIMAROPA Region,Corcuera,Poblacion,,R,570
MIMAROPA Region,Corcuera,San Agustin,,R,539
MIMAROPA Region,Corcuera,San Roque,,R,938
MIMAROPA Region,Corcuera,San Vicente,,R,491
MIMAROPA Region,Corcuera,Tacasan,,R,458
MIMAROPA Region,Looc,Agojo,,R,1699
MIMAROPA Region,Looc,Balatucan,,R,1077
MIMAROPA Region,Looc,Buenavista,,R,1237
MIMAROPA Region,Looc,Camandag,,R,2046
MIMAROPA Region,Looc,Guinhayaan,,R,1582
MIMAROPA Region,Looc,Limon Norte,,R,2065
MIMAROPA Region,Looc,Limon Sur,,R,2134
MIMAROPA Region,Looc,Manhac,,R,1262
MIMAROPA Region,Looc,Pili,,R,1201
MIMAROPA Region,Looc,Poblacion,,R,3270
MIMAROPA Region,Looc,Punta,,R,3091
MIMAROPA Region,Looc,Tuguis,,R,1135
MIMAROPA Region,Magdiwang,Agsao,,R,826
MIMAROPA Region,Magdiwang,Agutay,,R,1721
MIMAROPA Region,Magdiwang,Ambulong,,R,1255
MIMAROPA Region,Magdiwang,Dulangan,,R,1812
MIMAROPA Region,Magdiwang,Ipil,,R,1747
MIMAROPA Region,Magdiwang,Jao-asan,,R,1175
MIMAROPA Region,Magdiwang,Poblacion,,R,2643
MIMAROPA Region,Magdiwang,Silum,,R,952
MIMAROPA Region,Magdiwang,Tampayan,,R,3254
MIMAROPA Region,Odiongan,Amatong,,R,1497
MIMAROPA Region,Odiongan,Anahao,,R,2186
MIMAROPA Region,Odiongan,Bangon,,R,1689
MIMAROPA Region,Odiongan,Batiano,,R,2246
MIMAROPA Region,Odiongan,Budiong,,R,2802
MIMAROPA Region,Odiongan,Canduyong,,R,2097
MIMAROPA Region,Odiongan,Dapawan,,U,4334
MIMAROPA Region,Odiongan,Gabawan,,R,3068
MIMAROPA Region,Odiongan,Libertad,,R,2522
MIMAROPA Region,Odiongan,Malilico,,R,980
MIMAROPA Region,Odiongan,Mayha,,R,1458
MIMAROPA Region,Odiongan,Panique,,R,2929
MIMAROPA Region,Odiongan,Pato-o,,R,3119
MIMAROPA Region,Odiongan,Ligaya ,,R,1069
MIMAROPA Region,Odiongan,Liwanag ,,U,540
MIMAROPA Region,Odiongan,Poctoy,,U,2450
MIMAROPA Region,Odiongan,Progreso Este,,R,1622
MIMAROPA Region,Odiongan,Progreso Weste,,R,847
MIMAROPA Region,Odiongan,Rizal,,R,1981
MIMAROPA Region,Odiongan,Tabing Dagat ,,R,1054
MIMAROPA Region,Odiongan,Tabobo-an,,R,1432
MIMAROPA Region,Odiongan,Tulay,,R,2378
MIMAROPA Region,Odiongan,Tumingad,,R,2432
MIMAROPA Region,Odiongan,Liwayway ,,U,475
MIMAROPA Region,Odiongan,Tuburan,,R,2077
MIMAROPA Region,Romblon ,Agbaluto,,R,805
MIMAROPA Region,Romblon ,Agpanabat,,R,913
MIMAROPA Region,Romblon ,Agbudia,,R,618
MIMAROPA Region,Romblon ,Agnaga,,R,973
MIMAROPA Region,Romblon ,Agnay,,R,742
MIMAROPA Region,Romblon ,Agnipa,,R,1110
MIMAROPA Region,Romblon ,Agtongo,,R,1483
MIMAROPA Region,Romblon ,Alad,,R,2067
MIMAROPA Region,Romblon ,Bagacay,,R,2652
MIMAROPA Region,Romblon ,Cajimos,,U,2846
MIMAROPA Region,Romblon ,Calabogo,,R,815
MIMAROPA Region,Romblon ,Capaclan,,R,4790
MIMAROPA Region,Romblon ,Ginablan,,R,763
MIMAROPA Region,Romblon ,Guimpingan,,R,763
MIMAROPA Region,Romblon ,Ilauran,,R,1678
MIMAROPA Region,Romblon ,Lamao,,R,1032
MIMAROPA Region,Romblon ,Li-o,,R,1547
MIMAROPA Region,Romblon ,Logbon,,R,845
MIMAROPA Region,Romblon ,Lunas,,R,803
MIMAROPA Region,Romblon ,Lonos,,R,2048
MIMAROPA Region,Romblon ,Macalas,,R,1328
MIMAROPA Region,Romblon ,Mapula,,R,654
MIMAROPA Region,Romblon ,Cobrador,,R,880
MIMAROPA Region,Romblon ,Palje,,R,624
MIMAROPA Region,Romblon ,Barangay I ,,R,513
MIMAROPA Region,Romblon ,Barangay II ,,U,1225
MIMAROPA Region,Romblon ,Barangay III ,,R,1163
MIMAROPA Region,Romblon ,Barangay IV ,,R,1172
MIMAROPA Region,Romblon ,Sablayan,,R,1566
MIMAROPA Region,Romblon ,Sawang,,R,1465
MIMAROPA Region,Romblon ,Tambac,,R,671
MIMAROPA Region,San Agustin,Bachawan,,R,1822
MIMAROPA Region,San Agustin,Binonga-an,,R,2183
MIMAROPA Region,San Agustin,Buli,,R,1061
MIMAROPA Region,San Agustin,Cabolutan,,R,1933
MIMAROPA Region,San Agustin,Cagbo-aya,,R,1588
MIMAROPA Region,San Agustin,Carmen,,R,2083
MIMAROPA Region,San Agustin,Cawayan,,R,844
MIMAROPA Region,San Agustin,Doña Juana,,R,2731
MIMAROPA Region,San Agustin,Dubduban,,R,2450
MIMAROPA Region,San Agustin,Hinugusan,,R,801
MIMAROPA Region,San Agustin,Lusong,,R,953
MIMAROPA Region,San Agustin,Mahabang Baybay,,R,2347
MIMAROPA Region,San Agustin,Poblacion,,R,1343
MIMAROPA Region,San Agustin,Sugod,,R,1502
MIMAROPA Region,San Agustin,Camantaya,,R,474
MIMAROPA Region,San Andres,Agpudlos,,R,1552
MIMAROPA Region,San Andres,Calunacon,,R,1573
MIMAROPA Region,San Andres,Doña Trinidad,,R,589
MIMAROPA Region,San Andres,Linawan,,R,1351
MIMAROPA Region,San Andres,Mabini,,R,1466
MIMAROPA Region,San Andres,Marigondon Norte,,R,975
MIMAROPA Region,San Andres,Marigondon Sur,,R,1194
MIMAROPA Region,San Andres,Matutuna,,R,1561
MIMAROPA Region,San Andres,Pag-Alad,,R,1295
MIMAROPA Region,San Andres,Poblacion,,R,1545
MIMAROPA Region,San Andres,Tan-Agan,,R,1572
MIMAROPA Region,San Andres,Victoria,,R,659
MIMAROPA Region,San Andres,Juncarlo,,R,608
MIMAROPA Region,San Fernando,Agtiwa,,R,1327
MIMAROPA Region,San Fernando,Azarga,,R,1997
MIMAROPA Region,San Fernando,Campalingo,,R,1677
MIMAROPA Region,San Fernando,Canjalon,,R,1827
MIMAROPA Region,San Fernando,España,,R,2345
MIMAROPA Region,San Fernando,Mabini,,R,1379
MIMAROPA Region,San Fernando,Mabulo,,R,2054
MIMAROPA Region,San Fernando,Otod,,R,2085
MIMAROPA Region,San Fernando,Panangcalan,,R,1171
MIMAROPA Region,San Fernando,Pili,,R,1357
MIMAROPA Region,San Fernando,Poblacion,,R,1485
MIMAROPA Region,San Fernando,Taclobo,,U,5467
MIMAROPA Region,San Jose,Busay,,R,1832
MIMAROPA Region,San Jose,Combot,,R,1133
MIMAROPA Region,San Jose,Lanas,,R,2909
MIMAROPA Region,San Jose,Pinamihagan,,R,1927
MIMAROPA Region,San Jose,Poblacion,,R,3958
MIMAROPA Region,Santa Fe,Agmanic,,R,1918
MIMAROPA Region,Santa Fe,Canyayo,,R,1834
MIMAROPA Region,Santa Fe,Danao Norte,,R,1345
MIMAROPA Region,Santa Fe,Danao Sur,,R,786
MIMAROPA Region,Santa Fe,Guinbirayan,,R,1810
MIMAROPA Region,Santa Fe,Guintigbasan,,R,754
MIMAROPA Region,Santa Fe,Magsaysay,,R,1665
MIMAROPA Region,Santa Fe,Mat-i,,R,1274
MIMAROPA Region,Santa Fe,Pandan,,R,1616
MIMAROPA Region,Santa Fe,Poblacion,,R,2555
MIMAROPA Region,Santa Fe,Tabugon,,R,2245
MIMAROPA Region,Ferrol,Agnonoc,,R,605
MIMAROPA Region,Ferrol,Bunsoran,,R,1059
MIMAROPA Region,Ferrol,Claro M. Recto,,R,738
MIMAROPA Region,Ferrol,Poblacion,,R,2056
MIMAROPA Region,Ferrol,Hinaguman,,R,1451
MIMAROPA Region,Ferrol,Tubigon,,R,2096
MIMAROPA Region,Santa Maria,Bonga,,R,1244
MIMAROPA Region,Santa Maria,Concepcion Norte ,,R,2852
MIMAROPA Region,Santa Maria,Concepcion Sur,,R,2328
MIMAROPA Region,Santa Maria,Paroyhog,,R,725
MIMAROPA Region,Santa Maria,Santo Niño,,R,1270
MIMAROPA Region,Santa Maria,San Isidro,,R,570
Region XIII (Caraga),Buenavista,Abilan,,R,3127
Region XIII (Caraga),Buenavista,Agong-ong,,R,1611
Region XIII (Caraga),Buenavista,Alubijid,,R,4378
Region XIII (Caraga),Buenavista,Guinabsan,,R,4430
Region XIII (Caraga),Buenavista,Macalang,,R,2068
Region XIII (Caraga),Buenavista,Malapong,,R,1590
Region XIII (Caraga),Buenavista,Malpoc,,R,2576
Region XIII (Caraga),Buenavista,Manapa,,U,5307
Region XIII (Caraga),Buenavista,Matabao,,U,5560
Region XIII (Caraga),Buenavista,Poblacion 1,,R,1480
Region XIII (Caraga),Buenavista,Poblacion 2,,U,1456
Region XIII (Caraga),Buenavista,Poblacion 3,,U,3641
Region XIII (Caraga),Buenavista,Poblacion 4,,R,1808
Region XIII (Caraga),Buenavista,Poblacion 5,,R,1069
Region XIII (Caraga),Buenavista,Poblacion 6,,R,1861
Region XIII (Caraga),Buenavista,Poblacion 7,,R,1248
Region XIII (Caraga),Buenavista,Poblacion 8,,R,1116
Region XIII (Caraga),Buenavista,Poblacion 9,,R,1583
Region XIII (Caraga),Buenavista,Poblacion 10,,R,2669
Region XIII (Caraga),Buenavista,Rizal,,R,3692
Region XIII (Caraga),Buenavista,Sacol,,R,3369
Region XIII (Caraga),Buenavista,Sangay,,R,3709
Region XIII (Caraga),Buenavista,Talo-ao,,R,2193
Region XIII (Caraga),Buenavista,Lower Olave,,R,1906
Region XIII (Caraga),Buenavista,Simbalan,,U,5445
Region XIII (Caraga),City of Butuan ,Agao Pob.,,R,490
Region XIII (Caraga),City of Butuan ,Agusan Pequeño,,U,5555
Region XIII (Caraga),City of Butuan ,Ambago,,U,13634
Region XIII (Caraga),City of Butuan ,Amparo,,U,3281
Region XIII (Caraga),City of Butuan ,Ampayon,,U,13820
Region XIII (Caraga),City of Butuan ,Anticala,,R,4913
Region XIII (Caraga),City of Butuan ,Antongalon,,R,4159
Region XIII (Caraga),City of Butuan ,Aupagan,,R,1902
Region XIII (Caraga),City of Butuan ,Baan KM 3,,U,14539
Region XIII (Caraga),City of Butuan ,Babag,,R,2016
Region XIII (Caraga),City of Butuan ,Bading Pob.,,U,5668
Region XIII (Caraga),City of Butuan ,Bancasi,,U,5388
Region XIII (Caraga),City of Butuan ,Banza,,U,4939
Region XIII (Caraga),City of Butuan ,Baobaoan,,R,1734
Region XIII (Caraga),City of Butuan ,Basag,,R,3993
Region XIII (Caraga),City of Butuan ,Bayanihan Pob.,,U,5626
Region XIII (Caraga),City of Butuan ,Bilay,,R,1354
Region XIII (Caraga),City of Butuan ,Bit-os,,R,2955
Region XIII (Caraga),City of Butuan ,Bitan-agan,,R,1300
Region XIII (Caraga),City of Butuan ,Bobon,,R,1996
Region XIII (Caraga),City of Butuan ,Bonbon,,U,6289
Region XIII (Caraga),City of Butuan ,Bugabus,,R,1482
Region XIII (Caraga),City of Butuan ,Buhangin Pob.,,U,5005
Region XIII (Caraga),City of Butuan ,Cabcabon,,R,2821
Region XIII (Caraga),City of Butuan ,Camayahan,,R,1469
Region XIII (Caraga),City of Butuan ,Baan Riverside Pob.,,U,5478
Region XIII (Caraga),City of Butuan ,Dankias,,R,1385
Region XIII (Caraga),City of Butuan ,Imadejas Pob.,,U,2198
Region XIII (Caraga),City of Butuan ,Diego Silang Pob.,,U,838
Region XIII (Caraga),City of Butuan ,Doongan,,U,13814
Region XIII (Caraga),City of Butuan ,Dumalagan,,R,2932
Region XIII (Caraga),City of Butuan ,Golden Ribbon Pob.,,U,4622
Region XIII (Caraga),City of Butuan ,Dagohoy Pob.,,U,1161
Region XIII (Caraga),City of Butuan ,Jose Rizal Pob.,,U,4908
Region XIII (Caraga),City of Butuan ,Holy Redeemer Pob.,,U,8726
Region XIII (Caraga),City of Butuan ,Humabon Pob.,,U,139
Region XIII (Caraga),City of Butuan ,Kinamlutan,,R,3690
Region XIII (Caraga),City of Butuan ,Lapu-lapu Pob.,,U,1458
Region XIII (Caraga),City of Butuan ,Lemon,,R,2017
Region XIII (Caraga),City of Butuan ,Leon Kilat Pob.,,U,180
Region XIII (Caraga),City of Butuan ,Libertad,,U,25296
Region XIII (Caraga),City of Butuan ,Limaha Pob.,,U,5579
Region XIII (Caraga),City of Butuan ,Los Angeles,,U,5661
Region XIII (Caraga),City of Butuan ,Lumbocan,,R,4959
Region XIII (Caraga),City of Butuan ,Maguinda,,R,3706
Region XIII (Caraga),City of Butuan ,Mahay,,R,4874
Region XIII (Caraga),City of Butuan ,Mahogany Pob.,,U,6162
Region XIII (Caraga),City of Butuan ,Maibu,,R,1412
Region XIII (Caraga),City of Butuan ,Mandamo,,R,903
Region XIII (Caraga),City of Butuan ,Manila de Bugabus,,R,3763
Region XIII (Caraga),City of Butuan ,Maon Pob.,,U,5261
Region XIII (Caraga),City of Butuan ,Masao,,R,1913
Region XIII (Caraga),City of Butuan ,Maug,,R,2984
Region XIII (Caraga),City of Butuan ,Port Poyohon Pob.,,U,6607
Region XIII (Caraga),City of Butuan ,New Society Village Pob.,,U,955
Region XIII (Caraga),City of Butuan ,Ong Yiu Pob.,,U,5327
Region XIII (Caraga),City of Butuan ,Pianing,,R,2457
Region XIII (Caraga),City of Butuan ,Pinamanculan,,R,3428
Region XIII (Caraga),City of Butuan ,Rajah Soliman Pob.,,R,423
Region XIII (Caraga),City of Butuan ,San Ignacio Pob.,,U,1751
Region XIII (Caraga),City of Butuan ,San Mateo,,R,4166
Region XIII (Caraga),City of Butuan ,San Vicente,,U,19500
Region XIII (Caraga),City of Butuan ,Sikatuna Pob.,,U,145
Region XIII (Caraga),City of Butuan ,Silongan Pob.,,R,632
Region XIII (Caraga),City of Butuan ,Sumilihon,,R,4935
Region XIII (Caraga),City of Butuan ,Tagabaca,,R,3767
Region XIII (Caraga),City of Butuan ,Taguibo,,U,5856
Region XIII (Caraga),City of Butuan ,Taligaman,,U,4325
Region XIII (Caraga),City of Butuan ,Tandang Sora Pob.,,U,4011
Region XIII (Caraga),City of Butuan ,Tiniwisan,,U,4051
Region XIII (Caraga),City of Butuan ,Tungao,,R,4607
Region XIII (Caraga),City of Butuan ,Urduja Pob.,,U,99
Region XIII (Caraga),City of Butuan ,Villa Kananga,,U,12407
Region XIII (Caraga),City of Butuan ,Obrero Pob.,,U,8643
Region XIII (Caraga),City of Butuan ,Bugsukan,,R,1946
Region XIII (Caraga),City of Butuan ,De Oro,,R,2385
Region XIII (Caraga),City of Butuan ,Dulag,,R,1700
Region XIII (Caraga),City of Butuan ,Florida,,R,2752
Region XIII (Caraga),City of Butuan ,Nong-nong,,R,1732
Region XIII (Caraga),City of Butuan ,Pagatpatan,,U,6379
Region XIII (Caraga),City of Butuan ,Pangabugan,,R,4438
Region XIII (Caraga),City of Butuan ,Salvacion,,R,1501
Region XIII (Caraga),City of Butuan ,Santo Niño,,R,3116
